turno,equipe,estrategia,id,x inicial,y inicial, x final, y final, peca, movimento
0,aleatória,autobots,1,1,1,1,2,pin,mover
1,aleatória,autobots,2,1,3,2,2,leo,mover
2,aleatória,autobots,1,1,2,2,1,pin,colocar
3,aleatória,autobots,2,2,2,1,2,leo,mover
4,aleatória,autobots,1,0,0,0,1,gir,mover
5,aleatória,autobots,2,1,2,1,3,leo,mover
6,aleatória,autobots,1,0,1,1,1,gir,mover
7,aleatória,autobots,2,1,2,1,2,pin,colocar
8,aleatória,autobots,1,1,0,0,0,leo,mover
9,aleatória,autobots,2,1,3,0,2,leo,mover
10,aleatória,autobots,1,1,1,1,0,gir,mover
11,aleatória,autobots,2,0,2,1,3,leo,mover
12,aleatória,autobots,1,0,0,0,1,leo,mover
13,aleatória,autobots,2,0,3,0,2,gir,mover
14,aleatória,autobots,1,0,1,0,0,leo,mover
15,aleatória,autobots,2,1,3,0,3,leo,mover
16,aleatória,autobots,1,2,0,1,1,ele,mover
17,aleatória,autobots,2,0,2,0,1,gir,mover
18,aleatória,autobots,1,0,0,0,1,leo,mover
19,aleatória,autobots,2,1,2,1,1,pin,mover
20,aleatória,autobots,1,0,1,0,0,gir,colocar
21,aleatória,autobots,2,1,1,1,3,ele,colocar
22,aleatória,autobots,1,2,1,2,2,pin,mover
23,aleatória,autobots,2,2,3,1,2,ele,mover
24,aleatória,autobots,1,0,1,1,1,leo,mover
25,aleatória,autobots,2,1,2,0,1,ele,mover
26,aleatória,autobots,1,1,1,2,3,pin,colocar
27,aleatória,autobots,2,0,1,1,2,ele,mover
28,aleatória,autobots,1,0,0,0,1,gir,mover
29,aleatória,autobots,2,1,3,2,2,ele,mover
30,aleatória,autobots,1,1,1,0,0,leo,mover
31,aleatória,autobots,2,2,2,1,3,ele,mover
32,aleatória,autobots,1,1,0,2,0,gir,mover
33,aleatória,autobots,2,1,3,2,2,ele,mover
34,aleatória,autobots,1,2,0,1,0,gir,mover
35,aleatória,autobots,2,1,2,0,1,ele,mover
36,aleatória,autobots,1,1,0,1,1,gir,mover
37,aleatória,autobots,2,0,1,1,0,ele,mover
38,aleatória,autobots,1,1,1,0,1,gir,mover
39,aleatória,autobots,2,1,0,0,1,ele,mover
40,aleatória,autobots,1,0,0,0,1,leo,mover
41,aleatória,autobots,2,2,2,1,2,pin,colocar
42,aleatória,autobots,1,0,1,0,0,leo,mover
43,aleatória,autobots,2,0,1,0,1,gir,colocar
44,aleatória,autobots,1,0,0,1,0,leo,mover
45,aleatória,autobots,2,2,2,1,3,ele,mover
46,aleatória,autobots,1,1,0,2,1,leo,mover
47,aleatória,autobots,2,0,1,2,2,gir,colocar
48,aleatória,autobots,1,2,1,2,0,leo,mover
49,aleatória,autobots,2,2,2,2,3,gir,mover
50,aleatória,autobots,1,2,0,1,0,leo,mover
51,aleatória,autobots,2,0,3,0,2,leo,mover
52,aleatória,autobots,1,1,0,2,0,leo,mover
53,aleatória,autobots,2,2,3,2,1,pin,colocar
54,aleatória,autobots,1,2,0,2,1,leo,mover
55,aleatória,autobots,2,1,3,2,2,ele,mover
56,aleatória,autobots,1,0,1,1,3,ele,colocar
57,aleatória,autobots,2,2,3,1,3,gir,mover
58,aleatória,autobots,1,2,1,1,1,pin,colocar
59,aleatória,autobots,2,1,2,1,1,pin,mover
60,aleatória,autobots,1,2,1,2,2,leo,mover
61,aleatória,autobots,2,1,1,2,3,pin,colocar
62,aleatória,autobots,1,2,2,2,1,leo,mover
63,aleatória,autobots,2,1,3,1,2,gir,mover
64,aleatória,autobots,1,2,2,2,2,ele,colocar
65,aleatória,autobots,2,1,3,1,3,ele,colocar
66,aleatória,autobots,1,2,2,1,3,ele,mover
67,aleatória,autobots,2,1,2,1,3,gir,mover
68,aleatória,autobots,1,1,3,1,2,ele,colocar
69,aleatória,autobots,2,1,1,1,0,pin,mover
70,aleatória,autobots,1,1,2,0,1,ele,mover
71,aleatória,autobots,2,2,3,2,2,pin,mover
72,aleatória,autobots,1,2,1,2,2,leo,mover
73,aleatória,autobots,2,1,3,0,0,ele,colocar
74,aleatória,autobots,1,2,2,2,3,pin,colocar
75,aleatória,autobots,2,1,0,2,0,gal,mover
76,aleatória,autobots,1,0,1,0,3,gir,colocar
77,aleatória,autobots,2,1,3,0,3,gir,mover
78,aleatória,autobots,1,0,1,1,2,ele,mover
79,aleatória,autobots,2,0,3,1,3,gir,colocar
80,aleatória,autobots,1,1,2,0,1,ele,mover
81,aleatória,autobots,2,1,3,2,3,gir,mover
82,aleatória,autobots,1,2,2,2,3,leo,mover
